node,status,block_height,peer_count
node01,running,237,2
node02,running,237,2
node03,running,237,2
node04,running,237,2
node05,running,237,1
node06,running,237,1
node07,running,237,1
node08,running,237,1
node09,running,238,4
node10,running,238,6
node11,running,238,6
node12,running,238,6
node13,running,238,6
node14,running,238,6
node15,running,238,6
node16,running,238,4
node17,running,238,3
node18,running,238,5
node19,running,238,5
node20,running,238,5
node21,running,239,5
node22,running,239,5
node23,running,239,5
node24,running,239,5
node25,running,239,4
node26,running,239,4
node27,running,239,4
node28,running,239,4
node29,running,239,4
node30,running,239,4
node31,running,239,4
node32,running,239,4
node33,running,239,4
node34,running,239,4
node35,running,239,4
node36,running,239,4
node37,running,239,4
node38,running,239,4
node39,running,239,4
node40,running,239,4
node41,running,239,4
node42,running,239,4
node43,running,239,4
node44,running,239,4
node45,running,239,4
node46,running,239,4
node47,running,239,4
node48,running,239,4
node49,running,239,4
node50,running,239,4
node51,running,239,4
node52,running,239,4
node53,running,239,4
node54,running,239,4
node55,running,239,4
node56,running,239,4
node57,running,239,4
node58,running,239,4
node59,running,239,4
node60,running,239,4
node61,running,239,4
node62,running,239,4
node63,running,239,4
node64,running,239,2
