node,status,block_height,peer_count
node01,running,396,2
node02,running,396,2
node03,running,397,2
node04,running,397,2
node05,running,397,1
node06,running,397,1
node07,running,397,1
node08,running,397,1
node09,running,397,4
node10,running,397,6
node11,running,397,6
node12,running,397,6
node13,running,397,6
node14,running,397,6
node15,running,397,6
node16,running,397,4
node17,running,397,3
node18,running,397,5
node19,running,397,5
node20,running,397,5
node21,running,397,5
node22,running,398,5
node23,running,398,5
node24,running,398,5
node25,running,398,4
node26,running,398,4
node27,running,398,4
node28,running,398,4
node29,running,398,4
node30,running,398,4
node31,running,398,4
node32,running,398,4
node33,running,398,4
node34,running,398,4
node35,running,398,4
node36,running,398,4
node37,running,398,4
node38,running,398,4
node39,running,398,4
node40,running,399,4
node41,running,399,4
node42,running,399,4
node43,running,399,4
node44,running,399,4
node45,running,399,4
node46,running,399,4
node47,running,399,4
node48,running,399,4
node49,running,399,4
node50,running,399,4
node51,running,399,4
node52,running,399,4
node53,running,399,4
node54,running,399,4
node55,running,399,4
node56,running,399,4
node57,running,399,4
node58,running,399,4
node59,running,399,4
node60,running,400,4
node61,running,400,4
node62,running,400,4
node63,running,400,4
node64,running,400,2
