run_id,timestamp,tx_rate,crash_fraction,crash_duration_s,latency_ms,loss_pct,seed,node_count,total_transactions,mean_latency,median_latency,p95_latency,p99_latency,max_latency,min_latency,std_latency,throughput_tpm
20250906T090020Z,2025-09-08T11:22:32.538791+00:00,,,,,,,,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:25:04.578596+00:00,10.0,0.25,300.0,100.0,2.0,42.0,8.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:25:06.248725+00:00,10.0,0.25,300.0,100.0,2.0,42.0,16.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:25:07.912824+00:00,10.0,0.25,300.0,100.0,2.0,42.0,24.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:25:09.583108+00:00,10.0,0.25,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:05.188105+00:00,10.0,0.0,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:06.888109+00:00,10.0,0.0,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:08.597142+00:00,10.0,0.0,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:10.277430+00:00,10.0,0.0,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:11.947323+00:00,10.0,0.0,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:13.619033+00:00,10.0,0.0,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:15.285734+00:00,10.0,0.0,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:16.955974+00:00,10.0,0.0,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:18.673766+00:00,10.0,0.0,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:20.604843+00:00,10.0,0.1,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:22.389490+00:00,10.0,0.1,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:24.159340+00:00,10.0,0.1,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:25.844174+00:00,10.0,0.1,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:27.517551+00:00,10.0,0.1,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:29.178361+00:00,10.0,0.1,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:30.858459+00:00,10.0,0.1,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:32.539074+00:00,10.0,0.1,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:34.224802+00:00,10.0,0.1,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:35.911255+00:00,10.0,0.2,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:37.590344+00:00,10.0,0.2,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:39.262192+00:00,10.0,0.2,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:40.947195+00:00,10.0,0.2,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:42.658233+00:00,10.0,0.2,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:44.366669+00:00,10.0,0.2,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:46.055673+00:00,10.0,0.2,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:47.779877+00:00,10.0,0.2,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:49.489797+00:00,10.0,0.2,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:51.183681+00:00,10.0,0.3,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:52.865061+00:00,10.0,0.3,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:54.546543+00:00,10.0,0.3,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:56.222542+00:00,10.0,0.3,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:57.900505+00:00,10.0,0.3,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:29:59.585786+00:00,10.0,0.3,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:01.299042+00:00,10.0,0.3,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:02.970148+00:00,10.0,0.3,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:04.652714+00:00,10.0,0.3,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:06.338884+00:00,10.0,0.4,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:08.024442+00:00,10.0,0.4,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:09.698475+00:00,10.0,0.4,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:11.388811+00:00,10.0,0.4,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:13.070277+00:00,10.0,0.4,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:14.740957+00:00,10.0,0.4,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:16.426585+00:00,10.0,0.4,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:18.106339+00:00,10.0,0.4,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:19.788347+00:00,10.0,0.4,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:21.577075+00:00,10.0,0.5,60.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:23.266371+00:00,10.0,0.5,60.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:24.955042+00:00,10.0,0.5,60.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:26.640623+00:00,10.0,0.5,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:28.321264+00:00,10.0,0.5,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:29.990525+00:00,10.0,0.5,300.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:31.669602+00:00,10.0,0.5,600.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:33.347116+00:00,10.0,0.5,600.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:35.032308+00:00,10.0,0.5,600.0,100.0,2.0,44.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:41.425146+00:00,10.0,0.25,300.0,0.0,0.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:43.106968+00:00,10.0,0.25,300.0,0.0,0.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:44.779300+00:00,10.0,0.25,300.0,0.0,1.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:46.468857+00:00,10.0,0.25,300.0,0.0,1.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:48.155684+00:00,10.0,0.25,300.0,0.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:49.847081+00:00,10.0,0.25,300.0,0.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:51.543337+00:00,10.0,0.25,300.0,0.0,5.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:53.232553+00:00,10.0,0.25,300.0,0.0,5.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:54.917426+00:00,10.0,0.25,300.0,0.0,10.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:56.599110+00:00,10.0,0.25,300.0,0.0,10.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:58.274222+00:00,10.0,0.25,300.0,50.0,0.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:30:59.963460+00:00,10.0,0.25,300.0,50.0,0.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:01.809766+00:00,10.0,0.25,300.0,50.0,1.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:03.524283+00:00,10.0,0.25,300.0,50.0,1.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:05.220560+00:00,10.0,0.25,300.0,50.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:06.903421+00:00,10.0,0.25,300.0,50.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:08.581460+00:00,10.0,0.25,300.0,50.0,5.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:10.269827+00:00,10.0,0.25,300.0,50.0,5.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:11.948709+00:00,10.0,0.25,300.0,50.0,10.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:13.625040+00:00,10.0,0.25,300.0,50.0,10.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:15.296727+00:00,10.0,0.25,300.0,100.0,0.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:16.977213+00:00,10.0,0.25,300.0,100.0,0.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:18.658225+00:00,10.0,0.25,300.0,100.0,1.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:20.338914+00:00,10.0,0.25,300.0,100.0,1.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:22.015851+00:00,10.0,0.25,300.0,100.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:23.692323+00:00,10.0,0.25,300.0,100.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:25.372783+00:00,10.0,0.25,300.0,100.0,5.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:27.055385+00:00,10.0,0.25,300.0,100.0,5.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:28.728525+00:00,10.0,0.25,300.0,100.0,10.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:30.404939+00:00,10.0,0.25,300.0,100.0,10.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:32.091962+00:00,10.0,0.25,300.0,200.0,0.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:33.771747+00:00,10.0,0.25,300.0,200.0,0.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:35.447984+00:00,10.0,0.25,300.0,200.0,1.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:37.128650+00:00,10.0,0.25,300.0,200.0,1.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:38.809518+00:00,10.0,0.25,300.0,200.0,2.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:40.486855+00:00,10.0,0.25,300.0,200.0,2.0,43.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
20250906T090020Z,2025-09-08T11:31:42.170233+00:00,10.0,0.25,300.0,200.0,5.0,42.0,32.0,452,4.603575221238938,4.6274999999999995,9.47745,10.98676,12.93,-0.951,3.157195662816808,47.91519434628975
