node,status,block_height,peer_count
node01,running,383,2
node02,running,383,1
node03,running,383,1
node04,running,383,1
node05,running,383,1
node06,running,383,1
node07,running,383,1
node08,running,383,1
node09,running,383,4
node10,running,383,6
node11,running,383,6
node12,running,383,6
node13,running,384,6
node14,running,384,6
node15,running,384,6
node16,running,384,4
node17,running,384,3
node18,running,384,5
node19,running,384,5
node20,running,384,5
node21,running,384,5
node22,running,384,5
node23,running,384,5
node24,running,384,5
node25,running,384,4
node26,running,384,4
node27,running,384,4
node28,running,384,4
node29,running,384,4
node30,running,384,4
node31,running,384,4
node32,running,384,2
