node,status,block_height,peer_count
node01,running,362,1
node02,running,362,1
node03,running,362,1
node04,running,362,1
node05,running,362,1
node06,running,362,1
node07,running,362,1
node08,running,362,1
node09,running,362,4
node10,running,362,6
node11,running,362,6
node12,running,362,6
node13,running,362,6
node14,running,362,6
node15,running,362,6
node16,running,362,4
node17,running,363,3
node18,running,363,5
node19,running,363,5
node20,running,363,5
node21,running,363,5
node22,running,363,5
node23,running,363,5
node24,running,363,5
node25,running,363,4
node26,running,363,4
node27,running,363,4
node28,running,363,4
node29,running,363,4
node30,running,363,4
node31,running,363,4
node32,running,363,2
