node,status,block_height,peer_count
node01,running,1146,1
node02,running,1146,1
node03,running,1146,1
node04,running,1146,1
node05,running,1146,1
node06,running,1146,1
node07,running,1146,1
node08,running,1146,1
node09,running,1146,4
node10,running,1146,6
node11,running,1146,6
node12,running,1146,6
node13,running,1146,6
node14,running,1146,6
node15,running,1147,6
node16,running,1147,4
node17,running,1147,3
node18,running,1147,5
node19,running,1147,5
node20,running,1147,5
node21,running,1147,5
node22,running,1147,5
node23,running,1147,5
node24,running,1147,5
node25,running,1147,4
node26,running,1147,4
node27,running,1147,4
node28,running,1147,4
node29,running,1147,4
node30,running,1147,4
node31,running,1147,4
node32,running,1147,2
