node,status,block_height,peer_count
node01,running,730,2
node02,running,635,2
node03,running,771,2
node04,running,821,2
node05,running,879,2
node06,running,879,2
node07,running,655,2
node08,running,879,2
node09,running,879,4
node10,running,900,6
node11,running,951,6
node12,running,979,6
node13,running,979,6
node14,running,979,6
node15,running,979,6
node16,running,979,4
node17,running,979,3
node18,running,980,5
node19,running,980,5
node20,running,980,5
node21,running,980,5
node22,running,980,5
node23,running,980,5
node24,running,981,5
node25,running,879,4
node26,running,879,4
node27,running,879,4
node28,running,879,4
node29,running,879,4
node30,running,879,4
node31,running,879,4
node32,running,879,4
node33,running,879,4
node34,running,879,4
node35,running,879,4
node36,running,879,4
node37,running,879,4
node38,running,879,4
node39,running,879,4
node40,running,879,4
node41,running,879,4
node42,running,879,4
node43,running,879,4
node44,running,879,4
node45,running,879,4
node46,running,879,4
node47,running,879,4
node48,running,879,4
node49,running,879,4
node50,running,879,4
node51,running,879,4
node52,running,879,4
node53,running,879,4
node54,running,879,4
node55,running,879,4
node56,running,879,4
node57,running,879,4
node58,running,879,4
node59,running,879,4
node60,running,879,4
node61,running,879,4
node62,running,879,4
node63,running,879,4
node64,running,879,4
node65,running,879,4
node66,running,879,4
node67,running,879,4
node68,running,879,4
node69,running,879,4
node70,running,879,4
node71,running,879,4
node72,running,879,4
node73,running,879,4
node74,running,879,4
node75,running,879,4
node76,running,879,4
node77,running,879,4
node78,running,879,4
node79,running,879,4
node80,running,879,4
node81,running,879,4
node82,running,879,4
node83,running,879,4
node84,running,879,4
node85,running,879,4
node86,running,879,4
node87,running,879,4
node88,running,879,4
node89,running,980,4
node90,running,1057,4
node91,running,1131,4
node92,running,1137,4
node93,running,1137,4
node94,running,1137,4
node95,running,1137,4
node96,running,1137,4
node97,running,1137,4
node98,running,1137,4
node99,running,1137,4
node100,running,1137,4
node101,running,1137,4
node102,running,1137,4
node103,running,1142,4
node104,running,1167,4
node105,running,1194,4
node106,running,1223,4
node107,running,1223,4
node108,running,1223,4
node109,running,1223,4
node110,running,1223,4
node111,running,1223,4
node112,running,1223,4
node113,running,1224,4
node114,running,1224,4
node115,running,1224,4
node116,running,1224,4
node117,running,1225,4
node118,running,1225,4
node119,running,1225,4
node120,running,1225,4
node121,running,1225,4
node122,running,1225,4
node123,running,1225,4
node124,running,1225,4
node125,running,1225,4
node126,running,1225,4
node127,running,1225,4
node128,running,1225,2
